false;Setting the mode to its current value must have no effect on irrigation. ; Users must be able to set the mode. 
false;AquaLush must allow moisture levels that control irrigation, called critical moisture levels, to be set for each irrigation zone. ; The simulation must provide controls to change the simulation speed (that is, speed up or slow down the simulated time). 
false;AquaLush must allow moisture levels that control irrigation, called critical moisture levels, to be set for each irrigation zone. ; The following data must be recorded for each valve: Identifier, Type, Location, Flow rate, Operational status 
false;AquaLush must allow moisture levels that control irrigation, called critical moisture levels, to be set for each irrigation zone. ; Users must be able to set the mode. 
false;AquaLush must allow moisture levels that control irrigation, called critical moisture levels, to be set for each irrigation zone. ; The current time is recorded in the system clock and may be set by the user. it consists of both the current day and the current time of day. 
false;AquaLush must allow moisture levels that control irrigation, called critical moisture levels, to be set for each irrigation zone. ; If a zone's zone allocation is reached, then AquaLush must close all valves in the zone and go to the next zone. 
false;AquaLush must allow moisture levels that control irrigation, called critical moisture levels, to be set for each irrigation zone. ; AquaLush must allow users to set the current time. 
false;AquaLush must allow moisture levels that control irrigation, called critical moisture levels, to be set for each irrigation zone. ; AquaLush must either not allow an invalid critical moisture level setting or validate the new critical moisture level setting. 
false;AquaLush must allow moisture levels that control irrigation, called critical moisture levels, to be set for each irrigation zone. ; A configuration file must be prepared at installation so that AquaLush can read this file to obtain its configuration at startup. 
false;AquaLush must allow moisture levels that control irrigation, called critical moisture levels, to be set for each irrigation zone. ; If a sensor cannot be read, then AquaLush must try to read it twice more. 
false;AquaLush must allow moisture levels that control irrigation, called critical moisture levels, to be set for each irrigation zone. ; AquaLush must make no attempt to resume an irrigation operation that may have been in progress when it was shut down. 
false;AquaLush must allow moisture levels that control irrigation, called critical moisture levels, to be set for each irrigation zone. ; The following data must be displayed for each valve in manual mode.
false;AquaLush must allow moisture levels that control irrigation, called critical moisture levels, to be set for each irrigation zone. ; If a sensor cannot be read after three tries in manual-mode operation, then AquaLush must alert the user that the sensor has failed. 
false;AquaLush must allow moisture levels that control irrigation, called critical moisture levels, to be set for each irrigation zone. ; AquaLush must allow moisture levels that control irrigation, called critical moisture levels, to be set for each irrigation zone. 
false;AquaLush must allow moisture levels that control irrigation, called critical moisture levels, to be set for each irrigation zone. ; After establishing its configuration, AquaLush must read its persistent store to restore its state. 
false;AquaLush must allow moisture levels that control irrigation, called critical moisture levels, to be set for each irrigation zone. ; AquaLush must allow moisture levels that control irrigation, called critical moisture levels, to be set for each irrigation zone. 
false;AquaLush must allow moisture levels that control irrigation, called critical moisture levels, to be set for each irrigation zone. ; AquaLush must display the following data for each manually opened valve while it is open: its identifier, its location 
false;AquaLush must allow moisture levels that control irrigation, called critical moisture levels, to be set for each irrigation zone. ; A configuration file must be prepared at installation so that AquaLush can read this file to obtain its configuration at startup. 
false;AquaLush must allow moisture levels that control irrigation, called critical moisture levels, to be set for each irrigation zone. ; Each simulated irrigation zone must simulate a sensor and display the simulated sensor's moisture level. 
false;AquaLush must assign each zone a zone allocation, which is the valve allocation multiplied by the number of working valves in the zone. ; Users must be able to set the mode. 
false;AquaLush must assign each zone a zone allocation, which is the valve allocation multiplied by the number of working valves in the zone. ; After establishing its configuration, AquaLush must read its persistent store to restore its state. 
false;AquaLush must assign each zone a zone allocation, which is the valve allocation multiplied by the number of working valves in the zone. ; If a sensor cannot be read after three tries in manual-mode operation, then AquaLush must alert the user that the sensor has failed. 
false;AquaLush must assign each zone a zone allocation, which is the valve allocation multiplied by the number of working valves in the zone. ; AquaLush must display the following data for each manually opened valve while it is open: its identifier, its location, how long it has been open, how much water it has used 
false;AquaLush must assign each zone a zone allocation, which is the valve allocation multiplied by the number of working valves in the zone. ; Users must be able to set the mode. 
false;AquaLush must assign each zone a zone allocation, which is the valve allocation multiplied by the number of working valves in the zone. ; AquaLush must allow users to indicate that failed valves and sensors have been repaired. 
false;AquaLush must assign each zone a zone allocation, which is the valve allocation multiplied by the number of working valves in the zone. ; The Web-based AquaLush simulation must represent all operational and maintenance features of the delivered product. 
false;AquaLush must assign each zone a zone allocation, which is the valve allocation multiplied by the number of working valves in the zone. ; AquaLush must record its system parameters in persistent store so that its state can be restored at startup. 
false;AquaLush must assign each zone a zone allocation, which is the valve allocation multiplied by the number of working valves in the zone. ; AquaLush must either not allow an invalid critical moisture level setting or validate the new critical moisture level setting. 
false;AquaLush must assign each zone a zone allocation, which is the valve allocation multiplied by the number of working valves in the zone. ; The control panel must have a menu-based textual user interface. 
false;When all valves in a zone are closed, if the zone allocation is not exhausted, then AquaLush must add the remainder of the zone allocation to the total of the zone allocations of the unirrigated zones ; AquaLush must detect valve and sensor failures. 
false;When all valves in a zone are closed, if the zone allocation is not exhausted, then AquaLush must add the remainder of the zone allocation to the total of the zone allocations of the unirrigated zones ; Every minute, AquaLush must read the zone sensor. 
false;When all valves in a zone are closed, if the zone allocation is not exhausted, then AquaLush must add the remainder of the zone allocation to the total of the zone allocations of the unirrigated zones ; A configuration file must be prepared at installation so that AquaLush can read this file to obtain its configuration at startup. 
false;When all valves in a zone are closed, if the zone allocation is not exhausted, then AquaLush must add the remainder of the zone allocation to the total of the zone allocations of the unirrigated zones ; AquaLush must record its system parameters in persistent store so that its state can be restored at startup. 
false;When all valves in a zone are closed, if the zone allocation is not exhausted, then AquaLush must add the remainder of the zone allocation to the total of the zone allocations of the unirrigated zones ; AquaLush must allow the maximum amount of water used in each irrigation cycle, called the water allocation, to be set. 
false;When all valves in a zone are closed, if the zone allocation is not exhausted, then AquaLush must add the remainder of the zone allocation to the total of the zone allocations of the unirrigated zones ; If a valve cannot be manipulated (opened or closed), then AquaLush must try to manipulate it twice more. 
false;When all valves in a zone are closed, if the zone allocation is not exhausted, then AquaLush must add the remainder of the zone allocation to the total of the zone allocations of the unirrigated zones ; Users must be able to set the mode. 
false;When all valves in a zone are closed, if the zone allocation is not exhausted, then AquaLush must add the remainder of the zone allocation to the total of the zone allocations of the unirrigated zones ; AquaLush must allow the days and time of day when irrigation occurs, called the irrigation time, to be set. 
false;When all valves in a zone are closed, if the zone allocation is not exhausted, then AquaLush must add the remainder of the zone allocation to the total of the zone allocations of the unirrigated zones ; AquaLush must allow users to set the current time. 
false;When all valves in a zone are closed, if the zone allocation is not exhausted, then AquaLush must add the remainder of the zone allocation to the total of the zone allocations of the unirrigated zones ; If AquaLush cannot read its persistent store when starting up, then it must display an error message and suspend operation. 
false;When all valves in a zone are closed, if the zone allocation is not exhausted, then AquaLush must add the remainder of the zone allocation to the total of the zone allocations of the unirrigated zones ; AquaLush must allow users to set the current time. 
false;When all valves in a zone are closed, if the zone allocation is not exhausted, then AquaLush must add the remainder of the zone allocation to the total of the zone allocations of the unirrigated zones ; AquaLush must allow users to set the current time. 
false;When all valves in a zone are closed, if the zone allocation is not exhausted, then AquaLush must add the remainder of the zone allocation to the total of the zone allocations of the unirrigated zones ; AquaLush must allow the days and time of day when irrigation occurs, called the irrigation time, to be set. 
false;When all valves in a zone are closed, if the zone allocation is not exhausted, then AquaLush must add the remainder of the zone allocation to the total of the zone allocations of the unirrigated zones ; The following data must be recorded for each valve: Identifier, Type, Location, Flow rate, Operational status 
false;When all valves in a zone are closed, if the zone allocation is not exhausted, then AquaLush must add the remainder of the zone allocation to the total of the zone allocations of the unirrigated zones ; AquaLush must allow the days and time of day when irrigation occurs, called the irrigation time, to be set. 
false;When all valves in a zone are closed, if the zone allocation is not exhausted, then AquaLush must add the remainder of the zone allocation to the total of the zone allocations of the unirrigated zones ; AquaLush must either not allow an invalid critical moisture level setting or validate the new critical moisture level setting. 
false;When all valves in a zone are closed, if the zone allocation is not exhausted, then AquaLush must add the remainder of the zone allocation to the total of the zone allocations of the unirrigated zones ; AquaLush must allow users to indicate that failed valves and sensors have been repaired. 
false;When all valves in a zone are closed, if the zone allocation is not exhausted, then AquaLush must add the remainder of the zone allocation to the total of the zone allocations of the unirrigated zones ; Users must be able to set the mode. 
false;When all valves in a zone are closed, if the zone allocation is not exhausted, then AquaLush must add the remainder of the zone allocation to the total of the zone allocations of the unirrigated zones ; AquaLush must allow moisture levels that control irrigation, called critical moisture levels, to be set for each irrigation zone. 
false;When all valves in a zone are closed, if the zone allocation is not exhausted, then AquaLush must add the remainder of the zone allocation to the total of the zone allocations of the unirrigated zones ; How much water has been used 
false;divide this sum by the number of working valves in the unirrigated zones to produce a new valve allocation ; The following data must be recorded for each valve: Identifier, Type, Location, Flow rate, Operational status 
false;divide this sum by the number of working valves in the unirrigated zones to produce a new valve allocation ; Associated sensor moisture level 
false;divide this sum by the number of working valves in the unirrigated zones to produce a new valve allocation ; If a zone's zone allocation is reached, then AquaLush must close all valves in the zone and go to the next zone. 
false;divide this sum by the number of working valves in the unirrigated zones to produce a new valve allocation ; AquaLush must allow users to set the current time. 
false;divide this sum by the number of working valves in the unirrigated zones to produce a new valve allocation ; If a valve cannot be manipulated (opened or closed), then AquaLush must try to manipulate it twice more. 
false;divide this sum by the number of working valves in the unirrigated zones to produce a new valve allocation ; Users must be able to set the mode. 
false;divide this sum by the number of working valves in the unirrigated zones to produce a new valve allocation ; AquaLush must detect valve and sensor failures. 
false;divide this sum by the number of working valves in the unirrigated zones to produce a new valve allocation ; AquaLush must allow the maximum amount of water used in each irrigation cycle, called the water allocation, to be set. 
false;divide this sum by the number of working valves in the unirrigated zones to produce a new valve allocation ; A configuration file must be prepared at installation so that AquaLush can read this file to obtain its configuration at startup. 
false;divide this sum by the number of working valves in the unirrigated zones to produce a new valve allocation ; In manual-mode operation, AquaLush must allow users to select non-empty sets of (working) valves and direct that they be opened or closed. 
false;multiply this value by the number of working valves in each unirrigated zone to produce a new zone allocation for each unirrigated zone. ; AquaLush must allow the maximum amount of water used in each irrigation cycle, called the water allocation, to be set. 
false;multiply this value by the number of working valves in each unirrigated zone to produce a new zone allocation for each unirrigated zone. ; If a valve cannot be manipulated (opened or closed), then AquaLush must try to manipulate it twice more. 
false;multiply this value by the number of working valves in each unirrigated zone to produce a new zone allocation for each unirrigated zone. ; AquaLush must allow the days and time of day when irrigation occurs, called the irrigation time, to be set. 
false;multiply this value by the number of working valves in each unirrigated zone to produce a new zone allocation for each unirrigated zone. ; A configuration file must be prepared at installation so that AquaLush can read this file to obtain its configuration at startup. 
false;multiply this value by the number of working valves in each unirrigated zone to produce a new zone allocation for each unirrigated zone. ; If AquaLush cannot write to its persistent store, then it must alert the user of the problem and continue operation. 
false;multiply this value by the number of working valves in each unirrigated zone to produce a new zone allocation for each unirrigated zone. ; AquaLush must either not allow an invalid water allocation setting or validate the new water allocation setting. 
false;multiply this value by the number of working valves in each unirrigated zone to produce a new zone allocation for each unirrigated zone. ; AquaLush must record its system parameters in persistent store so that its state can be restored at startup. 
false;multiply this value by the number of working valves in each unirrigated zone to produce a new zone allocation for each unirrigated zone. ; The current time is recorded in the system clock and may be set by the user. it consists of both the current day and the current time of day. 
false;multiply this value by the number of working valves in each unirrigated zone to produce a new zone allocation for each unirrigated zone. ; The simulated time consists of the simulated day and the simulated time of day. 
false;multiply this value by the number of working valves in each unirrigated zone to produce a new zone allocation for each unirrigated zone. ; If a sensor cannot be read after three tries in manual-mode operation, then AquaLush must alert the user that the sensor has failed. 
false;An irrigation cycle must end when every zone on the active zone list has been irrigated. ; AquaLush must be operated from a single central control panel. 
false;An irrigation cycle must end when every zone on the active zone list has been irrigated. ; AquaLush must read the working sensor in each zone and place all zones whose sensors are below that zone's critical moisture level on an active zone list. 
false;An irrigation cycle must end when every zone on the active zone list has been irrigated. ; AquaLush must read the working sensor in each zone and place all zones whose sensors are below that zone's critical moisture level on an active zone list. 
false;An irrigation cycle must end when every zone on the active zone list has been irrigated. ; AquaLush must detect valve and sensor failures. 
false;An irrigation cycle must end when every zone on the active zone list has been irrigated. ; If AquaLush cannot write to its persistent store, then it must alert the user of the problem and continue operation. 
false;An irrigation cycle must end when every zone on the active zone list has been irrigated. ; AquaLush must detect valve and sensor failures. 
false;An irrigation cycle must end when every zone on the active zone list has been irrigated. ; The control panel must have a menu-based textual user interface. 
false;An irrigation cycle must end when every zone on the active zone list has been irrigated. ; AquaLush must display the total water used in manual irrigation. 
false;An irrigation cycle must end when every zone on the active zone list has been irrigated. ; The irrigated site must be divided into 1 to 32 irrigation zones. 
false;An irrigation cycle must end when every zone on the active zone list has been irrigated. ; AquaLush must allow operation in either automatic or manual mode. 
false;If a sensor can be read within three tries, then AquaLush must ignore the error. ; AquaLush must display the following data for each manually opened valve while it is open:  its identifier, its location, how long it has been open, how much water it has used, the moisture level reported by its associated sensor 
false;If a sensor can be read within three tries, then AquaLush must ignore the error. ; If AquaLush cannot write to its persistent store, then it must alert the user of the problem and continue operation. 
false;If a sensor can be read within three tries, then AquaLush must ignore the error. ; AquaLush must allow the maximum amount of water used in each irrigation cycle, called the water allocation, to be set. 
false;If a sensor can be read within three tries, then AquaLush must ignore the error. ; If a sensor cannot be read after three tries in manual-mode operation, then AquaLush must alert the user that the sensor has failed. 
false;If a sensor can be read within three tries, then AquaLush must ignore the error. ; AquaLush must record its system parameters in persistent store so that its state can be restored at startup. 
false;If a sensor can be read within three tries, then AquaLush must ignore the error. ; If a sensor cannot be read, then AquaLush must try to read it twice more. 
false;If a sensor can be read within three tries, then AquaLush must ignore the error. ; If a zone's critical moisture level is reached, then AquaLush must close all valves in the zone and go to the next zone. 
false;If a sensor can be read within three tries, then AquaLush must ignore the error. ; AquaLush must run in one of two modes: manual or automatic. 
false;If a sensor can be read within three tries, then AquaLush must ignore the error. ; If a sensor cannot be read, then AquaLush must try to read it twice more. 
false;If a sensor can be read within three tries, then AquaLush must ignore the error. ; The irrigation time must specify both the days and the time of day when irrigation is to occur. 
false;If a sensor cannot be read after three tries, then AquaLush must mark that sensor as failed in its persistent store and stop using it in irrigation. ; AquaLush must assign each zone a zone allocation, which is the valve allocation multiplied by the number of working valves in the zone. 
false;If a sensor cannot be read after three tries, then AquaLush must mark that sensor as failed in its persistent store and stop using it in irrigation. ; A configuration file must be prepared at installation so that AquaLush can read this file to obtain its configuration at startup. 
false;If a sensor cannot be read after three tries, then AquaLush must mark that sensor as failed in its persistent store and stop using it in irrigation. ; AquaLush must read the working sensor in each zone 
false;If a sensor cannot be read after three tries, then AquaLush must mark that sensor as failed in its persistent store and stop using it in irrigation. ; The current time is recorded in the system clock and may be set by the user. it consists of both the current day and the current time of day. 
false;If a sensor cannot be read after three tries, then AquaLush must mark that sensor as failed in its persistent store and stop using it in irrigation. ; The following data must be recorded for each valve: Identifier, Type, Location, Flow rate, Operational status 
false;If a sensor cannot be read after three tries, then AquaLush must mark that sensor as failed in its persistent store and stop using it in irrigation. ; The control panel must have a menu-based textual user interface. 
false;If a sensor cannot be read after three tries, then AquaLush must mark that sensor as failed in its persistent store and stop using it in irrigation. ; AquaLush must allow the maximum amount of water used in each irrigation cycle, called the water allocation, to be set. 
false;If a sensor cannot be read after three tries, then AquaLush must mark that sensor as failed in its persistent store and stop using it in irrigation. ; The simulation must provide controls to change the simulation speed (that is, speed up or slow down the simulated time). 
false;If a sensor cannot be read after three tries, then AquaLush must mark that sensor as failed in its persistent store and stop using it in irrigation. ; Users must be able to set the mode. 
false;If a sensor cannot be read after three tries, then AquaLush must mark that sensor as failed in its persistent store and stop using it in irrigation. ; AquaLush must provide reports of failed valves and sensors when requested to do so by the user. 
